gender,muscle_group,exercise_name,relative_path,size_bytes
girl,Hips,"Smith Leg Press","girl/Hips/Smith Leg Press.mp4",434475
girl,Hips,"Squat","girl/Hips/Squat.mp4",737304
girl,Hips,"Stretching - Adductor stretch","girl/Hips/Stretching - Adductor stretch.mp4",534349
girl,Hips,"Stretching - All Fours Squad Stretch","girl/Hips/Stretching - All Fours Squad Stretch.mp4",530141
girl,Hips,"Stretching - Boat Stretch","girl/Hips/Stretching - Boat Stretch.mp4",693297
girl,Hips,"Stretching - Ceiling Look Stretch","girl/Hips/Stretching - Ceiling Look Stretch.mp4",688104
girl,Hips,"Stretching - Crossover Kneeling Hip Flexor Stretch","girl/Hips/Stretching - Crossover Kneeling Hip Flexor Stretch.mp4",583145
girl,Hips,"Stretching - Hamstring Stretch","girl/Hips/Stretching - Hamstring Stretch.mp4",549578
girl,Hips,"Stretching - Hip Circles Stretch","girl/Hips/Stretching - Hip Circles Stretch.mp4",744078
girl,Hips,"Stretching - Hip Extension Stretch","girl/Hips/Stretching - Hip Extension Stretch.mp4",676244
girl,Hips,"Stretching - Hip Flexor Stretch Rear foot elevated","girl/Hips/Stretching - Hip Flexor Stretch Rear foot elevated.mp4",731442
girl,Hips,"Stretching - Hip Flexor and Quad Stretch","girl/Hips/Stretching - Hip Flexor and Quad Stretch.mp4",279093
girl,Hips,"Stretching - Knee Raise","girl/Hips/Stretching - Knee Raise.mp4",550308
girl,Hips,"Stretching - Quadriceps lying stretch","girl/Hips/Stretching - Quadriceps lying stretch.mp4",362236
girl,Hips,"Stretching - Quadriceps stretch","girl/Hips/Stretching - Quadriceps stretch.mp4",317010
girl,Hips,"Stretching - Runners Stretch","girl/Hips/Stretching - Runners Stretch.mp4",615113
girl,Hips,"Weighted Sissy Squat","girl/Hips/Weighted Sissy Squat.mp4",644340
girl,Shoulders,"Band Bent-over Rear Lateral Raise","girl/Shoulders/Band Bent-over Rear Lateral Raise.mp4",302672
girl,Shoulders,"Band One Arm Forward Raise","girl/Shoulders/Band One Arm Forward Raise.mp4",293501
girl,Shoulders,"Barbell Front Raise","girl/Shoulders/Barbell Front Raise.mp4",759784
girl,Shoulders,"Barbell Seated Behind Head Military Press","girl/Shoulders/Barbell Seated Behind Head Military Press.mp4",567351
girl,Shoulders,"Barbell Upright Row (wide-grip)","girl/Shoulders/Barbell Upright Row (wide-grip).mp4",426210
girl,Shoulders,"Cable Crossover Reverse Fly","girl/Shoulders/Cable Crossover Reverse Fly.mp4",516743
girl,Shoulders,"Cable Front Raise","girl/Shoulders/Cable Front Raise.mp4",399237
girl,Shoulders,"Cable Lateral Raise","girl/Shoulders/Cable Lateral Raise.mp4",545513
girl,Shoulders,"Cable One Arm Forward Raise","girl/Shoulders/Cable One Arm Forward Raise.mp4",304593
girl,Shoulders,"Cable One Arm Lateral Raise","girl/Shoulders/Cable One Arm Lateral Raise.mp4",390138
girl,Shoulders,"Cable Rear Delt Row (with rope)","girl/Shoulders/Cable Rear Delt Row (with rope).mp4",358530
girl,Shoulders,"Dumbbell Alternate Shoulder Press","girl/Shoulders/Dumbbell Alternate Shoulder Press.mp4",673637
girl,Shoulders,"Dumbbell Arnold Press","girl/Shoulders/Dumbbell Arnold Press.mp4",485808
girl,Shoulders,"Dumbbell Bench Seated Press","girl/Shoulders/Dumbbell Bench Seated Press.mp4",464176
girl,Shoulders,"Dumbbell Front Raise","girl/Shoulders/Dumbbell Front Raise.mp4",322630
girl,Shoulders,"Dumbbell Incline Hammer Press","girl/Shoulders/Dumbbell Incline Hammer Press.mp4",383587
girl,Shoulders,"Dumbbell Iron Cross","girl/Shoulders/Dumbbell Iron Cross.mp4",770519
girl,Shoulders,"Dumbbell Lateral Raise","girl/Shoulders/Dumbbell Lateral Raise.mp4",355200
girl,Shoulders,"Dumbbell One Arm Lateral Raise","girl/Shoulders/Dumbbell One Arm Lateral Raise.mp4",243409
girl,Shoulders,"Dumbbell Rear Delt Row","girl/Shoulders/Dumbbell Rear Delt Row.mp4",478689
girl,Shoulders,"Dumbbell Rear Lateral Raise","girl/Shoulders/Dumbbell Rear Lateral Raise.mp4",734270
girl,Shoulders,"Dumbbell Seated Front Raise","girl/Shoulders/Dumbbell Seated Front Raise.mp4",439564
girl,Shoulders,"Dumbbell Seated Lateral Raise","girl/Shoulders/Dumbbell Seated Lateral Raise.mp4",399638
girl,Shoulders,"EZ Barbell Anti Gravity Press","girl/Shoulders/EZ Barbell Anti Gravity Press.mp4",740587
girl,Shoulders,"Lever Lateral Raise","girl/Shoulders/Lever Lateral Raise.mp4",447123
girl,Shoulders,"Lever Military Press","girl/Shoulders/Lever Military Press.mp4",540557
girl,Shoulders,"Lever Seated Reverse Fly","girl/Shoulders/Lever Seated Reverse Fly.mp4",521327
girl,Shoulders,"Military Press","girl/Shoulders/Military Press.mp4",485761
girl,Shoulders,"Smith Seated Shoulder Press","girl/Shoulders/Smith Seated Shoulder Press.mp4",438091
